COMERCIALIZAÇÃO DE VINHO DO PORTO;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;
Volume de negócios (euros);;;;;;;;;;;;;;;;;;;;;;
Peso dos mercados no Total (%);;;;;;;;;;;;;;;;;;;;;;
Variações em relação ao período homólogo do ano anterior (D%);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
PRINCIPAIS MERCADOS;;;MERCADOS;;ENGARRAFADO;;;S/ DES. ESP.;;;CAT. ESPECIAIS;;;;ENGARRAFADO;;;S/ DES. ESP.;;;CAT. ESPECIAIS;
;;;%;;euros;D %;;euros;D %;;euros;D %;%;;euros/litro;D %;;euros/litro;D %;;euros/litro;D %
8;GERMANY;;3,3;;12703100;5,3;;8640859;6,8;;4062241;2,3;31,9;;4,21;0,2;;3,32;0,6;;9,88;3,9
20;AUSTRIA;;0,3;;1175396;0,3;;616587;-14,3;;558809;23,5;47,5;;6,93;12,5;;4,60;0,7;;15,76;13,5
6;BELGIUM;;7,5;;28624952;-5,5;;23937973;-5,8;;4686979;-4,0;16,4;;4,02;1,5;;3,61;1,1;;9,52;4,5
12;BRAZIL;;0,7;;2831531;14,4;;2115142;7,0;;716389;43,7;25,3;;4,56;4,1;;3,84;0,1;;10,24;1,8
9;CANADA;;3,2;;12225121;0,4;;2163074;1,4;;10062046;0,1;82,3;;9,52;5,5;;5,63;3,6;;11,18;6,5
7;DENMARK;;3,5;;13428571;7,3;;2799650;-9,4;;10628921;12,7;79,2;;8,63;6,2;;3,99;1,8;;12,42;-0,6
5;USA;;8,8;;33465836;-0,7;;7814781;1,9;;25651054;-1,4;76,6;;9,16;0,0;;5,12;1,8;;12,06;-0,3
10;SPAIN;;1,3;;5015209;7,4;;4018794;1,7;;996415;38,9;19,9;;4,56;7,0;;4,03;3,3;;9,64;12,3
22;FINLAND;;0,2;;924565;-13,0;;321144;-5,0;;603421;-16,7;65,3;;7,13;-6,6;;5,15;3,9;;8,96;-12,3
2;FRANCE;;19,2;;70932244;-3,6;;58383361;-4,5;;12548884;1,2;17,2;;3,74;1,9;;3,37;1,1;;7,71;3,8
4;NETHERLANDS;;11,1;;42118311;-2,4;;31613522;-3,2;;10504789;0,1;24,9;;3,93;1,0;;3,29;0,0;;9,39;5,0
17;IRELAND;;0,4;;1437729;-17,2;;796947;-15,5;;640783;-19,2;44,6;;6,86;4,3;;5,89;-0,7;;8,61;14,1
13;ITALY;;0,7;;2534924;-4,2;;1997773;-6,1;;537151;3,5;21,2;;5,21;3,3;;4,49;1,8;;12,76;5,0
23;JAPAN;;0,2;;851220;-45,7;;662433;-53,1;;188787;20,6;22,2;;6,29;-20,8;;5,30;-28,3;;18,20;-25,7
21;LUXEMBOURG;;0,3;;1098198;-1,8;;742165;-1,9;;356033;-1,6;32,4;;5,38;2,6;;4,18;1,6;;13,28;9,4
24;MEXICO;;0,2;;791685;-4,2;;505117;5,5;;286569;-17,5;36,2;;6,86;-3,6;;5,01;1,9;;19,64;5,4
18;NORWAY;;0,3;;1328368;-16,3;;257178;18,7;;1071190;-21,9;80,6;;8,49;-9,4;;6,27;-3,2;;9,28;-8,0
25;NEW ZEALAND;;0,2;;760 459;-2,2;;326919;-12,0;;433 540;6,6;57,0;;9,04;15,0;;5,57;2,9;;17,08;27,4
15;POLAND;;0,6;;2227178;-0,5;;1519572;-15,1;;707 607;58,0;31,8;;3,60;6,1;;3,05;1,5;;5,85;-16,3
1;PORTUGAL;;19,4;;73695573;6,1;;44536 777;6,3;;29158796;5,7;39,6;;5,81;5,8;;4,35;7,0;;11,89;1,3
3;UNITED KINGDOM;;13,2;;49520315;5,3;;12246722;3,6;;37273594;5,9;74,3;;5,44;0,2;;3,45;-1,6;;6,71;0,9
19;REP. CZECH;;0,3;;1313082;15,7;;792628;3,2;;520453;41,9;39,6;;4,78;1,7;;3,60;0,0;;9,62;-27,1
14;RUSSIA;;0,6;;2421770;57,8;;1 233 431;27,4;;1188340;109,5;49,1;;5,97;18,0;;4,02;6,4;;12,02;0,0
16;SWEDEN;;0,5;;1727487;-9,4;;818570;-9,2;;908916;-9,5;52,6;;5,93;-1,6;;4,22;-0,5;;9,33;-3,4
11;SWITZERLAND;;0,9;;3605616;-5,1;;2279481;1,9;;1326135;-15,1;36,8;;6,18;-8,3;;4,48;-2,6;;17,84;-11,7
;REMAINING;;2,9;;10963335;12,5;;4307259;13,9;;6656076;11,7;60,7;;7,92;0,0;;4,86;3,3;;13,35;-4,4
;TOTAL;;100,0;;377721777;1,0;;215447860;-1,0;;162273917;3,8;42,7;;5,03;2,8;;3,71;2,0;;9,51;1,3     
