21 - Wine sales;;;;;;;;;
Period;;;;2008;;;2017;;
Wine;;;;Porto;;;Porto;;
country;continent;region;region;Litros;€;€/l;Litros;€;€/l
South Africa;Africa;Southern Africa;;21.741;127.989;5,89;17.625;126.803;7,19
Germany;Europe;Western Europe;;4.301.147;16.453.309;3,83;3.017.011;12.703.100;4,21
Andorra;Europe;Southern Europe;;132.552;508.562;3,84;48.620;229.576;4,72
Angola;Africa;Middle Africa;;133.766;791.795;5,92;15.872;128.894;8,12
Antigua;North America;Caribbean;;1.085;6.010;5,54;---;---;---
Netherlands Antilles;North America;Caribbean;;12.947;67.623;5,22;---;---;---
Algeria;Africa;Northern Africa;;---;---;---;1.800;9.280;5,16
Argentina;South America;South America;;3.902;28.765;7,37;2.616;25.266;9,66
Armenia;Asia;Western Asia;;---;---;---;540;3.166;5,86
Aruba;North America;Caribbean;;428;2.408;5,63;27;177;6,54
Australia;Oceania;Australia and New Zealand;;29.961;307.938;10,28;59.519;596.440;10,02
Austria;Europe;Western Europe;;148.562;827.693;5,57;169.600;1.175.396;6,93
Azerbaijan;Asia;Western Asia;;---;---;---;477;3.893;8,16
Belgium;Europe;Western Europe;;10.936.639;40.095.726;3,67;7.126.026;28.624.952;4,02
Bahamas;North America;Caribbean;;2.889;15.011;5,2;---;---;---
Bahrain;Asia;Western Asia;;180;622;3,45;531;4.485;8,45
Barbados;North America;Caribbean;;1.193;7.926;6,65;---;---;---
Benin;Africa;Western Africa;;5;90;17,07;---;---;---
Bermuda;North America;Caribbean;;11.594;101.098;8,72;6.753;64.902;9,61
Belarus;Europe;Eastern Europe;;2.562;10.680;4,17;20.862;117.285;5,62
Bolivia;South America;South America;;2.372;14.687;6,19;248;2.028;8,19
Brazil;South America;South America;;1.046.071;4.407.580;4,21;620.477;2.831.531;4,56
Bulgaria;Europe;Eastern Europe;;2.138;13.851;6,48;4.748;37.270;7,85
Bosnia Herzegovina;Europe;Southern Europe;;1.703;8.199;4,82;1.248;6.435;5,16
Cape Verde;Africa;Western Africa;;5.940;37.960;6,39;2.180;11.756;5,39
Cambodia;Asia;South-Eastern Asia;;531;4.882;9,19;---;---;---
Canada;North America;Northern America;;1.845.313;15.034.074;8,15;1.284.171;12.225.121;9,52
Qatar;Asia;Western Asia;;2.916;44.319;15,2;6.111;32.178;5,27
Cayman Islands;North America;Caribbean;;4.374;24.403;5,58;1.633;19.197;11,76
Kazakhstan;Asia;Central Asia;;2.480;29.390;11,85;2.304;10.429;4,53
Chile;South America;South America;;2.565;20.926;8,16;4.758;36.369;7,64
China;Asia;Eastern Asia;;19.222;152.832;7,95;205.719;1.409.325;6,85
Cyprus;Asia;Western Asia;;3.378;20.991;6,21;6.525;37.232;5,71
Colombia;South America;South America;;1.305;6.240;4,78;3.433;25.863;7,53
Congo;Africa;Middle Africa;;864;4.453;5,15;594;3.163;5,32
South Korea;Asia;Eastern Asia;;19.675;175.669;8,93;52.274;433.588;8,29
Cote d'Ivoire;Africa;Western Africa;;7.358;28.995;3,94;27.558;118.253;4,29
Costa Rica;North America;Central America;;4.757;21.531;4,53;6.032;45.214;7,5
Croatia;Europe;Southern Europe;;5.166;21.516;4,16;2.043;21.214;10,38
Cuba;North America;Caribbean;;968;8.880;9,18;---;---;---
Curacao;North America;Caribbean;;---;---;---;7.541;42.355;5,62
Denmark;Europe;Northern Europe;;1.105.382;6.010.951;5,44;1.556.687;13.428.571;8,63
United Arab Emirates;Asia;Western Asia;;22.400;272.534;12,17;125.257;1.913.233;15,27
Ecuador;South America;South America;;1.800;8.980;4,99;11.664;53.906;4,62
Slovakia;Europe;Eastern Europe;;5.195;32.275;6,21;9.313;58.568;6,29
Slovenia;Europe;Southern Europe;;5.949;61.963;10,42;5.186;42.960;8,28
Spain;Europe;Southern Europe;;1.157.306;5.354.625;4,63;1.100.965;5.015.209;4,56
Estonia;Europe;Northern Europe;;13.181;85.029;6,45;34.663;220.464;6,36
USA;North America;Northern America;;3.710.903;24.683.194;6,65;3.653.228;33.465.836;9,16
Fiji;Oceania;Melanesia;;---;---;---;153;4.326;28,27
Philippines;Asia;South-Eastern Asia;;2.615;23.364;8,94;3.069;16.693;5,44
Finland;Europe;Northern Europe;;139.321;987.581;7,09;129.693;924.565;7,13
France;Europe;Western Europe;;24.231.632;86.472.136;3,57;18.948.549;70.932.244;3,74
Gabon;Africa;Middle Africa;;---;---;---;36;864;24
Ghana;Africa;Western Africa;;450;2.730;6,07;---;---;---
Gibraltar;Europe;Southern Europe;;5.264;30.731;5,84;4.104;27.026;6,59
Greece;Europe;Southern Europe;;74.098;493.082;6,65;26.460;173.121;6,54
Guadeloupe;North America;Caribbean;;516;6.914;13,4;579;9.046;15,62
Guam;Oceania;Micronesia;;---;---;---;432;2.102;4,86
Guatemala;North America;Central America;;401;1.736;4,33;4.293;20.505;4,78
Haiti;North America;Caribbean;;900;6.485;7,21;216;1.242;5,75
Netherlands;Europe;Western Europe;;13.590.627;48.049.647;3,54;10.716.523;42.118.311;3,93
Hong Kong;Asia;Eastern Asia;;50.377;462.620;9,18;47.011;643.412;13,69
Hungary;Europe;Eastern Europe;;26.622;135.517;5,09;6.526;50.515;7,74
Maldives Islands;Asia;Southern Asia;;---;---;---;1.004;5.576;5,56
Mauritius Islands;Africa;Eastern Africa;;518;4.473;8,64;234;2.315;9,89
India;Asia;Southern Asia;;432;1.968;4,56;1.615;10.478;6,49
Indonesia;Asia;South-Eastern Asia;;1.305;14.708;11,27;5.724;44.157;7,71
Ireland;Europe;Northern Europe;;324.785;2.245.504;6,91;209.681;1.437.729;6,86
Iceland;Europe;Northern Europe;;15.363;113.328;7,38;29.766;229.602;7,71
Israel;Asia;Western Asia;;5.909;33.629;5,69;19.162;138.675;7,24
Italy;Europe;Southern Europe;;689.707;3.278.541;4,75;486.865;2.534.924;5,21
Japan;Asia;eastern asia;;236.163;1.663.833;7,05;135.270;851.220;6,29
Jordan;Asia;Western Asia;;---;---;---;95;1.690;17,88
Laos;Asia;South-Eastern Asia;;90;494;5,49;90;450;5
Latvia;Europe;Northern Europe;;50.036;264.296;5,28;47.861;286.182;5,98
Lebanon;Asia;Western Asia;;941;16.119;17,14;1.688;9.254;5,48
Liechtenstein;Europe;Western Europe;;381;6.492;17,04;2.039;21.192;10,4
Lithuania;Europe;Northern Europe;;16.056;67.602;4,21;51.048;252.175;4,94
Airport Shops Portugal;Europe;Southern Europe;;540;2.004;3,71;---;---;---
Luxembourg;Europe;Western Europe;;187.755;958.412;5,1;204.171;1.098.198;5,38
Mexico;North America;Central America;;145.259;731.005;5,03;115.419;791.685;6,86
Macao;Asia;eastern asia;;24.309;203.071;8,35;18.703;249.940;13,36
Malaysia;Asia;South-Eastern Asia;;5.531;53.436;9,66;8.493;70.609;8,31
Malta;Europe;Southern Europe;;17.783;111.212;6,25;16.481;120.692;7,32
Morocco;Africa;Northern Africa;;11.007;47.410;4,31;5.373;23.075;4,29
Mozambique;Africa;Eastern Africa;;7.482;44.171;5,9;16.215;85.572;5,28
Namibia;Africa;Southern Africa;;242;720;2,97;893;12.974;14,54
Nepal;Asia;Southern Asia;;---;---;---;3.563;25.233;7,08
Nigeria;Africa;Northern Europe;;---;---;---;2.293;16.650;7,26
Norway;Europe;Northern Europe;;136.173;1.042.842;7,66;156.512;1.328.368;8,49
New Caledonia;Oceania;Melanesia;;9;40;4,44;---;---;---
New Zealand;Oceania;Australia and New Zealand;;63.610;432.764;6,8;84.085;760.459;9,04
Panama;North America;Central America;;20.540;74.155;3,61;2.426;21.173;8,73
Paraguay;South America;South America;;23.340;111.508;4,78;44.229;245.745;5,56
Peru;South America;South America;;3.834;17.787;4,64;1.674;35.829;21,4
Poland;Europe;Eastern Europe;;245.528;935.698;3,81;619.421;2.227.178;3,6
Portugal;Europe;Southern Europe;;12.505.875;59.392.977;4,75;12.695.444;73.710.043;5,81
Kenya;Africa;Eastern Africa;;225;2.539;11,28;3.461;33.865;9,79
United Kingdom;Europe;Northern Europe;;8.961.000;39.386.675;4,4;9.107.440;49.520.315;5,44
Guinea Bissau;Africa;Western Africa;;153;784;5,12;162;775;4,79
Dominican Republic;North America;Caribbean;;7.619;39.961;5,25;8.196;50.750;6,19
Czech Republic;Europe;Eastern Europe;;318.569;1.588.644;4,99;274.548;1.313.082;4,78
Romania;Europe;Eastern Europe;;20.294;84.447;4,16;23.956;127.978;5,34
Russia;Europe;Eastern Europe;;111.990;836.948;7,47;405.798;2.421.770;5,97
Saint Martin;North America;Caribbean;;---;---;---;27;440;16,3
São Tomé and Príncipe;Africa;Middle Africa;;720;3.125;4,34;225;931;4,14
Serbia;Europe;Southern Europe;;---;---;---;678;9.286;13,7
Serbia and Montenegro;Europe;Southern Europe;;531;9.290;17,5;---;---;---
Sierra Leone;Africa;Western Africa;;360;1.777;4,94;---;---;---
Singapore;Asia;South-Eastern Asia;;57.824;412.908;7,14;156.898;1.107.408;7,06
Sri Lanka;Asia;Southern Asia;;---;---;---;734;4.558;6,21
Sweden;Europe;Northern Europe;;327.792;1.914.784;5,84;291.371;1.727.487;5,93
Swaziland;Africa;Southern Africa;;3.330;14.640;4,4;---;---;---
Switzerland;Europe;Western Europe;;788.334;4.186.378;5,31;583.034;3.605.616;6,18
Thailand;Asia;South-Eastern Asia;;5.505;33.575;6,1;9.623;56.530;5,87
Taiwan;Asia;eastern asia;;11.934;98.436;8,25;25.336;245.052;9,67
Tanzania;Africa;Eastern Africa;;---;---;---;120;6.780;56,5
East Timor;Asia;South-Eastern Asia;;1.440;10.732;7,45;1.890;12.774;6,76
Trinidad and Tobago;North America;Caribbean;;7.181;36.844;5,13;13.558;77.734;5,73
Turkey;Asia;Western Asia;;2.030;10.143;5;13.131;91.552;6,97
Ukraine;Europe;Eastern Europe;;3.128;51.791;16,56;39.245;250.691;6,39
Uruguay;South America;South America;;12.002;74.331;6,19;8.607;81.420;9,46
Venezuela;South America;South America;;48.039;216.872;4,51;7.772;39.539;5,09
Vietnam;Asia;South-Eastern Asia;;3.788;19.650;5,19;1.031;11.072;10,74
Zambia;Africa;Eastern Africa;;---;---;---;57;2.200;38,6
All countries;World;World;;88.299.464;373.522.188;4,23;75.076.508;377.733.498;5,03
